PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 NormChi2,% Inhibition @ 100 uM,% Inhibition @ 50 uM,% Inhibition @ 25 uM,% Inhibition @ 12.5 uM,% Inhibition @ 6.25 uM,% Inhibition @ 3.13 uM,% Inhibition @ 1.56 uM,% Inhibition @ 0.78 uM,% Inhibition @ 0.39 uM,% Inhibition @ 0.19 uM,Primary Outcome,Primary Screen % Inhibition @ 25 uM,Pilot 10K Screen % Inhibition @ 25 uM Rep 1,Pilot 10K Screen % Inhibition @ 25 uM Rep 2,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
165,17432782,2196572,Active,42,,,,96.25,,16.83,1.06,5.46,51.58,27.14,31.41,6.31,0,0,0,2.09,0,0,Active,54.93,,,verified
166,17433254,2195947,Active,41,,,>,100,,38.49,0.76,6.25,46.83,29.18,23.89,25.24,0,0,10.69,0,0,3.43,Active,56.9,,,verified
167,17433532,2895276,Active,63,,,,43.18,,2.96,1.56,4.08,82.79,48.43,36.11,13.11,0,0,0,0,0,0,Active,30.54,,,verified
168,17433565,2189210,Active,55,,,,64.03,,8.92,1.47,7.33,62.13,51.16,7.73,9.12,9.67,6.34,7.13,4.19,0,5.49,Active,65.24,,,verified
169,17433800,2939960,Active,48,,,,81.56,,1.94,1.71,1.26,59.52,28.5,12.65,4.91,2.76,0,0,0.7,2.03,0,Active,49.64,,,verified
170,17433911,1798249,Active,59,,,,54.23,,18.89,0.69,10.26,43.53,53.95,50.78,35.82,18.68,0,0,0,0,0,Active,55.53,,,verified
171,17503785,1953519,Active,76,,,,12.23,,0.65,3.79,5.31,100,100,96.78,50.91,7.6,14.79,0,3.49,0,0,Active,94.84,,,verified
172,17503825,1559635,Active,57,,,,59.36,,6.4,1.91,7.02,63.89,55.64,6.32,0,0,0,0,0,0,0,Active,45,,,verified
173,17503854,2828807,Active,41,,,>,100,,24.78,1.24,6.62,43.37,34.47,9.13,0,0,9.86,7.13,7.67,4.73,4.8,Active,42.09,,,verified
174,17503974,1987175,Active,65,,,,39.3,,1.38,3.66,3.17,91.26,72.58,14.11,4.14,2.38,0,0.68,5.44,0,0,Active,39.59,,,verified
175,17503998,3781851,Active,57,,,,59.4,,5.24,2.54,6.82,84.53,32.57,14.75,14.02,3.45,3.52,3.56,5.58,2.03,7.54,Active,57.86,,,verified
176,17504202,691106,Active,41,,,>,100,,189.14,0.53,10.24,24.66,42.34,32.37,31.88,2.38,2.02,0,2.72,3.44,0,Active,42.39,,,verified
177,17504317,1901377,Active,63,,,,43.76,,5,1.55,6.77,69.88,59.24,39.27,0,0,0,0,2.09,0,0,Active,40.76,,,verified
178,17504408,1311286,Active,77,,,,7.97,,1.12,2.27,10.33,79.71,96.86,76.37,84.71,33.37,8.45,0,0,5.41,0,Active,91.52,,,verified
179,17504429,1308940,Active,78,,,,7.44,,1.8,1.62,15.12,60.96,83.87,83.75,81.76,45.73,11.27,1.43,4.88,0,0,Active,66.81,,,verified
180,17504927,2301119,Active,76,,,,11.58,,0.83,1.84,4.74,100,100,74.4,58.27,18.65,11.98,7.13,3.49,0,0.69,Active,29.89,,,verified
181,17505330,1905297,Active,53,,,,70.33,,18.94,0.85,8.51,44.55,51.84,41.03,20.34,0,0,0,0,0,1.37,Active,52.22,,,verified
182,17505612,135488487,Active,64,,,,42.09,,2.43,2.03,4,80.87,61.82,27.05,0,7.6,0,0,0,2.03,0,Active,72.96,,,verified
183,17506409,5736971,Active,41,,,>,100,,69.53,0.7,5.66,34.06,39.42,16.86,13.32,3.45,5.64,1.43,4.19,0,8.91,Active,59.32,,,verified
184,17506668,1209375,Active,78,,,,6.33,,0.74,2.07,8.29,89.5,98.5,98.03,87.86,40.55,21.84,11.41,5.58,12.85,8.91,Active,96.27,,,verified
185,17507063,3118982,Active,66,,,,35.92,,2.41,1.23,3.49,76.13,58.08,45.46,18.93,6.91,4.93,0,2.79,1.35,4.8,Active,48.36,,,verified
186,17507585,5758789,Active,58,,,,58,,5.63,1.62,5.66,64.93,54.49,10.54,11.22,0.69,1.41,0,0,0,0,Active,45.52,,,verified
187,17507601,3117076,Active,68,,,,31.92,,4.9,1.53,9.18,68.25,73.56,51.36,10.52,0,0,,0,0,0,Active,88.46,,,verified
188,17507652,3147155,Active,56,,,,61.1,,8.46,1.83,8.68,72.48,41.53,10.54,7.71,13.13,12.68,11.41,9.07,6.09,5.49,Active,42.6,,,verified
189,17507702,135498034,Active,78,,,,6.25,,0.07,17.86,0.24,100,100,100,100,50.15,0,0,0,0.68,0,Active,39.24,,,verified
190,17507709,5340837,Active,65,,,,39.15,,0.93,2.38,1.8,87.62,65.41,26.21,3.51,0,0,2.85,0,0,0,Active,48.08,,,verified
191,17507890,1114147,Active,75,,,,14.92,,0.84,2.59,4.43,100,100,81.43,34.22,13.82,11.27,2.14,0,0,0.69,Active,77.56,,,verified
192,17508591,3115076,Active,65,,,,38.86,,1.71,3.84,4.01,90.12,74.37,14.05,0.7,8.29,0,0,1.4,0,0,Active,53.51,,,verified
193,17508932,3117077,Active,72,,,,22.34,,1.02,2.26,3.37,89.13,90.38,54.66,22.44,4.14,0,0,0,2.71,0,Active,84.47,,,verified
194,17508958,3117079,Active,71,,,,22.97,,2.31,2.71,8.14,75.87,92.69,57.68,13.32,1.38,0,2.14,1.4,0,0,Active,79.21,,,verified
195,17509685,12004937,Active,70,,,,27.13,,3.52,1.05,6.24,72.03,67.65,54.24,32.26,13.13,0,8.55,6.98,0,8.23,Active,74.48,,,verified
196,17510229,6039579,Active,67,,,,33.29,,4.4,0.99,6.01,65.78,62.43,53.26,26.51,8.29,7.75,0,4.88,3.38,0,Active,64.29,,,verified
197,17510417,12005196,Active,73,,,,19.29,,1.24,1.5,3.84,87.66,78.31,60.86,40.03,11.89,0,0,0,0,0,Active,46.57,,,verified
198,17510915,135517001,Active,41,,,>,100,,15.33,1.24,2.95,38.93,29.53,7.05,4.14,1.02,0,0,0,0,0,Active,34.13,,,verified
199,17511497,4219997,Active,60,,,,52.87,,1.64,3.16,2.74,91.79,42.7,12.69,3.45,0,4.03,0,0,0,0,Active,33.4,,,verified
200,17511666,3838798,Active,68,,,,31.56,,2.65,2.18,6.07,78.54,81.63,35.48,10.52,0,0,3.56,0,1.35,0,Active,42.15,,,verified
201,17511910,3766398,Active,44,,,,93.23,,3.78,2.11,2.35,53.08,23.07,2.81,0,5.53,0,0,1.4,0,0,Active,77.11,,,verified
202,17511954,135517058,Active,50,,,,77.08,,7.75,1.21,4.08,57.64,39.7,17.56,4.91,11.05,4.93,4.99,3.49,0,4.11,Active,86.72,,,verified
203,17512146,1901753,Active,68,,,,32.28,,2.8,1.61,5.34,75.15,74.17,41.45,15.43,2.07,0,0,4.88,0,0,Active,40.18,,,verified
204,17513455,2251550,Active,67,,,,33.2,,1.97,4.33,5.46,92.26,87.73,20.45,12.42,7.81,0,0,0.68,0,0,Active,92.82,,,verified
205,17513508,909748,Active,64,,,,41.57,,2.3,2.47,4.26,81.3,66.77,20.37,0,0,0,0,2.79,2.71,0,Active,41.18,,,verified
206,17513557,1882472,Active,41,,,,99.51,,6.16,1.62,2.64,48,29.86,6.32,0,0,0,0,0,0,0.69,Active,36.35,,,verified
207,17513630,951254,Active,68,,,,32.73,,6.59,0.9,8.54,60.5,65.21,55.71,28.54,12.43,1.41,8.55,0,12.17,0,Active,59.23,,,verified
208,17516224,3254772,Active,74,,,,16.69,,1.44,1.62,5.39,100,94.12,59.52,34.92,20.72,11.43,7.48,0,1.38,2.77,Active,50.29,,,verified
209,17516258,3525489,Active,67,,,,34.75,,2.5,4.16,6.57,86.06,84.97,17.63,10.35,8.49,0,0,2.04,0,3.46,Active,39.94,,,verified
210,17516464,4180259,Active,41,,,>,100,,143.91,0.48,7.5,53.73,18.32,22.48,18.23,17.27,12.68,12.83,11.16,4.06,2.74,Active,62.69,,,verified
211,17517063,5009759,Active,41,,,>,100,,38.7,0.54,6.98,38.68,48.11,42.01,27.35,8.98,10.57,9.98,6.98,4.06,0.69,Active,69.16,,,verified
212,17517418,4141238,Active,57,,,,58.36,,6.91,2.29,8.64,73.27,48.72,0,11.92,5.53,9.16,0,6.98,6.09,9.6,Active,34.44,,,verified
213,22400481,5568397,Active,41,,,>,100,,6.16,1.94,2.99,47.79,25.49,0,0,0,0,0,0,0,0,Active,43.42,,,verified
214,22401305,750351,Active,73,,,,18.5,,1.81,2,6.79,100,100,51.99,38.43,9.67,4.23,0,0,0,0,Active,72.03,,,verified
215,22401406,15944767,Active,62,,,,47.88,,5.56,2.28,8.54,96.84,40.24,25.93,9.82,2.76,4.23,5.7,6.98,6.76,6.86,Active,34.59,,,verified
216,22401480,13161694,Active,55,,,,65.08,,13.43,1.06,8.21,68.64,38.2,19.67,16.13,8.98,10.57,8.55,12.56,1.35,13.71,Active,33.84,,,verified
217,22401659,1234827,Active,51,,,,74.49,,11.55,1.01,5.5,62.91,35.01,23.89,7.71,13.82,12.68,3.56,5.58,2.03,1.37,Active,56.28,,,verified
218,22401790,2416879,Active,41,,,>,100,,108.33,0.59,6.71,49.17,23.07,17.56,8.41,11.05,15.5,12.12,5.58,5.41,5.49,Active,29.15,,,verified
219,22402590,931309,Active,71,,,,22.93,,2.89,1.05,6.14,73.99,66.84,59.38,43.07,13.25,4.71,4.08,0,2.06,0,Active,70.57,,,verified
220,22403205,2261569,Active,70,,,,27.62,,3.31,1.28,6.52,76.98,65.01,59.58,22.44,8.98,0,0,7.67,2.03,0,Active,65.83,,,verified
221,22403494,2319558,Active,68,,,,31.81,,3.25,1.14,5.14,76.86,60.11,44.29,35.68,6.45,0,1.36,0,0,0,Active,56.53,,,verified
222,22403553,2217555,Active,41,,,>,100,,50.2,0.79,4.84,38.42,29.18,16.16,21.04,0,0,0,3.49,4.06,0,Active,39.68,,,verified
223,22404806,4120672,Active,70,,,,27.72,,2.59,1.46,5.48,82.29,70.5,53.68,14.02,14.51,3.52,0,6.98,0,2.74,Active,72.12,,,verified
224,22404876,2319455,Active,60,,,,52.75,,9.33,0.92,6.74,65.91,49.4,26.21,31.84,6.91,1.41,4.28,9.77,9.47,1.37,Active,32,,,verified
225,22405111,6001017,Active,41,,,>,100,,17.98,1.54,4.78,39.53,29.86,0,0,0,0,0,0.7,0,2.74,Active,37.31,,,verified
226,22405177,11842308,Active,41,,,>,100,,60.09,0.76,3.13,30.41,28.5,18.97,7.71,4.14,0,0,2.09,1.35,0,Active,32.53,,,verified
227,22405886,6529937,Active,45,,,,90.69,,3.18,1.56,1.58,52.56,31.21,9.13,4.91,0,0,0,0,0,0,Active,72.26,,,verified
228,22406214,135521588,Active,53,,,,70.7,,7.43,1.39,5.07,55.42,47.3,19.67,0,0,0,0,0.7,0,0,Active,83.23,,,verified
229,22406344,135521591,Active,41,,,>,100,,40.14,0.82,5.41,35.88,36.71,27.12,10.52,0,0,0,0.7,0,0,Active,53.02,,,verified
230,22406529,2342135,Active,57,,,,59.58,,5.51,1.58,5.26,62.85,52.59,17.56,0,5.53,0,0,0,0,3.43,Active,62.62,,,verified
231,22406561,135521596,Active,71,,,,23.37,,2.62,1.09,5.59,74.18,80.21,46.09,37.17,18.65,7.75,2.85,4.19,0,0.69,Active,52.11,,,verified
232,22410067,135401236,Active,60,,,,51.27,,24.16,0.61,12.74,39,55.51,57.13,44.72,13.92,4.71,3.4,1.36,6.88,0,Active,59.54,,,verified
233,22410521,2336361,Active,41,,,>,100,,17.55,1.77,2.26,30.8,11.54,4.22,0,0,0,0,6.28,0,0,Active,30.32,,,verified
234,22410579,15945362,Active,54,,,,67.87,,6.16,1.9,5.71,69.81,33.25,11.94,8.41,6.91,5.64,0,6.28,6.76,8.91,Active,41.16,,,verified
235,22411501,135401318,Active,61,,,,50.15,,4.16,1.91,5.5,69.94,60.53,15.46,2.8,0,0,0,0,0,0,Active,38.86,,,verified
236,22411669,4187185,Active,59,,,,55.02,,2.61,2.02,3.23,74.37,49.6,11.24,8.41,0,3.52,0,0,0,0,Active,34.81,,,verified
237,22412301,4390439,Active,72,,,,20.95,,1.81,1.81,5.69,80.63,86.99,62.39,23.14,11.05,2.11,1.43,2.09,0.68,0,Active,79.82,,,verified
238,22412359,3136304,Active,54,,,,66.98,,3.06,1.82,2.79,66.06,40.01,10.58,5.52,3.06,0,0,5.44,2.06,0,Active,87.04,,,verified
239,22412871,4601136,Active,65,,,,39.44,,3.02,2.93,6.39,78.87,74.03,16.86,0,0,0,1.43,2.09,2.71,2.74,Active,38.29,,,verified
240,22413615,6537519,Active,62,,,,46.82,,4.96,1.33,5.61,64.02,63.58,27.75,12.62,3.45,0.7,0,0,0,3.43,Active,38.94,,,verified
241,22413631,979664,Active,61,,,,48.2,,17.58,0.73,11.76,52.73,49.63,41.68,53.49,10.53,0,0,0,0,0,Active,32.05,,,verified
242,22414129,15945766,Active,72,,,,21.18,,3.37,1.71,10.18,73.59,79.46,72.3,21.04,3.45,7.04,0,4.88,0,6.86,Active,80.8,,,verified
243,22414831,2862896,Active,64,,,,42.44,,2.9,2.55,5.34,80.17,67.18,16.86,0,2.76,6.34,0,2.79,2.03,0,Active,34.93,,,verified
244,22415435,135401480,Active,47,,,,84.2,,7.23,1.31,3.54,52.66,39.16,14.11,6.9,0,0,3.4,1.36,0,5.54,Active,38.05,,,verified
245,22415705,5735143,Active,41,,,>,100,,77.12,0.68,6.72,38.1,25.79,32.32,21.04,0,0,0,3.49,0,5.49,Active,35.71,,,verified
246,22415961,2790347,Active,63,,,,45.06,,5.54,1.8,7.94,76,63.31,16.86,9.82,6.91,12.68,7.13,4.19,0,10.29,Active,74.16,,,verified
247,22416620,2966040,Active,63,,,,43.29,,6.27,1.61,8.77,68.71,70.57,20.37,10.52,3.45,9.16,2.85,0,0.68,11.66,Active,65.36,,,verified
248,22417010,729270,Active,67,,,,34.72,,3.22,1.43,5.32,71.83,69.21,43.56,11.92,6.91,0.7,0,0,0,0,Active,81.03,,,verified
249,24779055,3095208,Active,41,,,>,100,,30.43,0.88,7.2,56.98,25.11,13.35,18.23,16.58,6.34,0.71,0,3.38,8.91,Active,75.65,,,verified
250,24779090,2929992,Active,58,,,,56.51,,5.68,1.48,5.52,62.65,55.3,21.78,1.4,4.84,1.41,0,0,0,4.8,Active,60.2,,,verified
251,24779495,4252228,Active,56,,,,63.16,,8.17,1.71,7.68,65.97,46.41,9.84,4.91,6.22,9.86,3.56,16.05,0,0,Active,86.74,,,verified
252,24779519,5875181,Active,41,,,>,100,,16.53,2.04,5.16,40.96,12.89,2.11,10.52,0,2.82,6.42,2.79,4.73,6.17,Active,69.73,,,verified
253,24779702,135541139,Active,60,,,,51.71,,3.41,2.24,4.79,73.98,56.66,9.84,1.4,0,0,0,2.09,0,0,Active,41.6,,,verified
254,24779813,1894896,Active,60,,,,51.55,,3.97,1.95,5.15,84.45,42.88,18.97,12.62,7.6,5.64,0,4.19,2.71,3.43,Active,54.42,,,verified
255,24779888,6116047,Active,60,,,,52.43,,4.45,2.69,6.84,74.44,57.47,0,0,0,0,0,0,0,0,Active,37.68,,,verified
256,24779890,1916319,Active,71,,,,23.4,,3.44,2.52,11.47,85.23,100,47.42,19.63,5.53,14.09,15.68,16.05,0,0,Active,63.99,,,verified
257,24779908,2125573,Active,51,,,,73.58,,6.9,1.82,5.55,63.5,33.93,9.84,6.31,2.07,0.7,0,4.88,10.15,10.29,Active,30.31,,,verified
258,24779997,135541149,Active,71,,,,24.44,,11.53,0.58,14.95,48.52,60.53,53.19,60.24,52.43,9.86,4.28,0.7,6.09,0,Active,75.76,,,verified
259,24780420,3157306,Active,41,,,>,100,,11.33,2.19,6.13,49.17,18.32,3.51,0,0,2.11,8.55,5.58,6.09,12.34,Active,31.32,,,verified
260,24780817,5504786,Active,52,,,,73.17,,15.93,0.83,6.59,46.3,49.74,38.5,18.23,4.84,0,4.28,0,0,0,Active,39.75,,,verified
261,24781601,16187612,Active,60,,,,51.76,,5.57,1.75,6.74,67.8,60.19,14.75,3.51,4.84,2.82,5.7,5.58,2.03,4.11,Active,46.25,,,verified
262,24782024,2332919,Active,77,,,,7.65,,0.61,4.26,7.49,80.63,95,92.89,89.45,29.91,0,1.43,0,0,0,Active,94.51,,,verified
263,24782207,3894061,Active,61,,,,49.63,,5.33,1.81,6.91,68.9,62.97,13.35,7.01,3.45,0,0.71,0,4.06,6.17,Active,32.46,,,verified
264,24782281,135460457,Active,69,,,,30.06,,3.93,1.32,6.46,,61.74,45.49,34.71,0,0,0,2.04,0,0,Active,83.04,,,verified
265,24782282,135460458,Active,72,,,,21.69,,4.28,0.92,8.9,71.38,72.81,57.89,45.09,11.74,8.45,7.13,13.95,4.06,14.4,Active,54.54,,,verified
266,24782533,731393,Active,41,,,>,100,,1222.5,0.49,9.01,12,35.4,26.09,14.49,4.42,0,0,0,0,0,Active,35.99,,,verified
267,24782655,16187927,Active,42,,,,97.69,,12.6,1.39,4.92,48.84,33.25,9.13,3.51,3.45,0,2.14,7.67,2.03,8.91,Active,49.45,,,verified
268,24782656,3130863,Active,41,,,>,100,,28.16,0.6,5.14,53.79,31.89,33.37,19.63,13.13,17.61,2.85,9.07,0,6.86,Active,28.86,,,verified
269,24783816,1305552,Active,62,,,,46.87,,2.32,2.97,4.22,95.39,51.55,16.22,4.14,1.02,6.05,4.76,5.44,2.06,1.39,Active,46.07,,,verified
270,24784127,2835376,Active,61,,,,49.47,,4.67,2.37,7.09,74.79,61.53,4.23,10.35,0.34,0,0,0,0,0,Active,47.82,,,verified
271,24785589,4222770,Active,77,,,,9.85,,1.57,1.41,9.26,79.92,98.39,78,53,48.16,6.72,0.68,4.76,2.75,0,Active,93.09,,,verified
272,24785784,1810505,Active,72,,,,22.48,,4.4,1.26,10.63,63.39,78.38,66.08,34.65,7.13,0,0,0,0,0,Active,74.36,,,verified
273,24785838,2188705,Active,69,,,,29.12,,3.3,1.94,7.71,76.59,77.36,51.22,5.61,2.07,0,5.7,0,2.71,2.74,Active,74.86,,,verified
274,24786048,135460539,Active,79,,,,4.6,,0.81,1.52,10.43,,,,71.5,77.5,25.55,13.6,10.88,8.26,3.46,Active,62.87,,,verified
275,24787030,3152413,Active,41,,,>,100,,28.77,1.35,6.09,36.54,34.74,0.7,0,0,0,0,0,0,0,Active,53.64,,,verified
276,24787120,3152411,Active,44,,,,91.84,,7.66,3.15,7.03,56.85,12.21,2.11,7.71,11.74,9.16,8.55,6.28,0.68,2.06,Active,40.68,,,verified
277,24787346,2951170,Active,65,,,,39.93,,3.53,2.47,6.8,80.56,71.59,17.56,8.41,0,0,7.84,3.49,0.68,8.91,Active,50.19,,,verified
278,24787642,2187941,Active,55,,,,64.54,,7.74,1.41,6.07,57.59,53.1,16.93,0.69,5.77,4.03,0,0,0,0,Active,69.86,,,verified
279,24787907,2978460,Active,56,,,,62.33,,3.08,2.37,3.64,78.39,32.57,16.22,0.69,5.09,0,4.08,0,0,0,Active,50.44,,,verified
280,24787975,1204403,Active,67,,,,34.5,,2.3,3.52,5.91,84.19,82.06,23.27,0,5.77,1.34,6.12,2.72,0,0,Active,59.81,,,verified
281,24787993,1231306,Active,54,,,,67.46,,5.21,2.54,5.87,76.91,25.11,17.56,1.4,5.53,9.16,0,0.7,1.35,0,Active,31.07,,,verified
282,24788194,5736415,Active,76,,,,10.19,,0.57,3.06,4.73,98.47,86.52,92.16,67.04,17.27,0,0,0,0,0,Active,89.17,,,verified
283,24788239,1303825,Active,72,,,,20.7,,0.79,2.6,3.02,93.37,93.98,61.69,19.63,7.6,4.93,1.43,2.09,0.68,0,Active,84.76,,,verified
284,24788512,2186033,Active,41,,,>,100,,7.07,1.93,1.94,38.49,17.64,0,0,0,0,0,0,0,0,Active,34.51,,,verified
285,24788629,750541,Active,67,,,,34.25,,10.24,0.88,12.36,81.12,46.96,29.65,54.7,21.42,0,0,0.7,0,0,Active,63.39,,,verified
286,24788895,1359347,Active,75,,,,14.53,,1.05,2.62,5.69,,,74.61,47.89,0,0,0,0,0,0,Active,32.6,,,verified
287,24789376,3155996,Active,41,,,>,100,,13.67,1.99,4.8,44.15,11.54,9.13,3.51,5.53,6.34,7.13,1.4,4.06,1.37,Active,56.78,,,verified
288,24789389,1078769,Active,74,,,,16.37,,2.26,1.14,7.14,82.06,74.91,58.96,56.38,25.47,3.36,0,0,0,0,Active,75.47,,,verified
289,24789390,1078768,Active,69,,,,29.4,,2.7,1.31,5.07,76.33,70.71,43.84,31.84,4.14,0,0,0,0,1.37,Active,57.24,,,verified
290,24789539,1130377,Active,77,,,,9.49,,0.47,3.82,4.44,90.45,93.98,97.7,74.61,15.89,5.64,0,3.49,1.35,0,Active,102.03,,,verified
291,24790141,3128192,Active,76,,,,10.72,,3.2,1.14,15.58,69.16,84.01,66.11,85.2,24.18,5.64,7.13,11.86,0,4.8,Active,81.23,,,verified
292,24790245,3151564,Active,58,,,,58.09,,4.68,1.71,4.88,66.13,50.98,17.63,0,0,0.67,7.48,0,0,0.69,Active,33.09,,,verified
293,24790338,135433179,Active,64,,,,42.49,,1.65,1.2,1.95,72.79,56.64,32.51,20.01,10.53,1.34,0,3.4,0,0,Active,59.12,,,verified
294,24790713,1363391,Active,74,,,,17.3,,0.26,3.29,1.3,100,96.39,76.58,26.65,0,0,0,0,0,0,Active,87.39,,,verified
295,24791177,892093,Active,66,,,,35.56,,8.35,0.75,8.44,56.79,59.19,46.41,43.89,26.15,2.02,0,3.4,0,0,Active,43.32,,,verified
296,24791749,2359990,Active,61,,,,49.33,,2.17,2.49,3.4,79.52,56.52,10.54,2.1,0,0,0,0,0,0,Active,30.6,,,verified
297,24791925,2130238,Active,48,,,,81.86,,2.43,3.12,2.5,64.93,18.32,0,2.8,1.38,1.41,0,2.09,5.41,0,Active,40.7,,,verified
298,24792096,2205909,Active,41,,,>,100,,51.78,0.92,3.87,36.99,16.96,14.05,15.43,0,0,0,0,0,0,Active,38.29,,,verified
299,24793329,1002798,Active,55,,,,64.97,,6.91,1.56,5.82,63.95,43.83,16.16,6.31,0,0.7,7.13,4.88,0,13.03,Active,44.06,,,verified
300,24793559,1002870,Active,64,,,,42.98,,1.64,2.21,2.77,81.52,62.38,21.86,3.45,0,0.67,0,0,0,2.77,Active,41.2,,,verified
301,24793745,2167819,Active,70,,,,25.61,,1.25,2.62,3.88,92.02,84.75,50.38,11.22,0,1.41,0.71,6.28,0,6.17,Active,68.72,,,verified
302,24793959,2196926,Active,41,,,>,100,,32.18,0.95,4.58,39.73,26.46,25.71,2.8,0,0.7,2.14,2.79,0,0,Active,38.35,,,verified
303,24795526,979661,Active,44,,,,93.16,,39.77,0.6,8.87,35.69,56.39,36.32,25.24,10.36,10.57,0.71,8.37,0,0,Active,56.95,,,verified
304,24795988,1291084,Active,67,,,,34.48,,2,4.1,5.3,98.47,82.99,19.67,9.12,2.07,4.93,7.13,0.7,8.79,2.74,Active,32.79,,,verified
305,24796906,1780811,Active,76,,,,11.93,,1.88,2.38,11.94,72.42,82.17,87.54,59.32,8.29,5.64,2.85,7.67,0,0,Active,93.57,,,verified
306,24797173,2975144,Active,56,,,,62.24,,19.68,0.86,10.71,47.67,67.72,25.57,12.62,6.22,10.57,4.28,7.67,5.41,9.6,Active,64.97,,,verified
307,24797546,1227531,Active,71,,,,24.23,,6.67,0.7,10.07,53.34,70.1,62.32,44.74,27.77,9.86,3.56,10.46,4.73,6.86,Active,68.86,,,verified
308,24797661,5718243,Active,58,,,,56.72,,4.92,1.4,4.55,66.36,45.26,32.81,2.1,2.07,0,0,0,0.68,0,Active,43.66,,,verified
309,24797663,1717938,Active,68,,,,31.98,,2.36,1.26,3.94,76.33,64.06,47.64,22.44,7.6,2.82,0,0,2.71,6.86,Active,68.37,,,verified
310,24797768,5733588,Active,73,,,,20.12,,3.53,1.15,8.61,,63.09,67.28,42.58,9.17,4.71,10.88,6.12,6.19,0,Active,52.21,,,verified
311,24797823,1002810,Active,51,,,,75.13,,5.77,1.75,4.35,57.9,41.6,5.62,2.1,0,0,0,0,0,0.69,Active,35.23,,,verified
312,24797852,854609,Active,67,,,,33.59,,4.3,1.52,7.61,73.46,65.21,52.97,8.41,0,0,0,0,0,0,Active,30.15,,,verified
313,24797881,5504333,Active,57,,,,58.75,,5.61,3.51,8.7,89.81,33.25,10.54,11.22,9.67,15.5,0,4.88,4.73,7.54,Active,75.99,,,verified
314,24797994,2181119,Active,41,,,>,100,,10.82,2.03,4.21,44.2,16.99,2.12,2.07,6.45,2.69,8.84,0,0,3.46,Active,38.84,,,verified
315,24798017,2933267,Active,61,,,,50.28,,2.44,1.78,3.08,78.67,48.52,22.48,7.01,4.84,6.34,0,0,4.73,3.43,Active,28.56,,,verified
316,24798052,3406013,Active,53,,,,68.88,,0.45,4.55,0.59,84.43,19,0,1.4,0,0,0,0,0,0,Active,59.87,,,verified
317,24798198,992588,Active,77,,,,9.53,,1.92,1.57,12.36,81.43,77.15,83.12,73.77,32.68,0,6.42,11.16,0,15.09,Active,95.74,,,verified
318,24798244,2286720,Active,58,,,,56.28,,3.42,2.43,4.6,73.99,50.63,4.23,0,0,0,0,0,0,0,Active,35.29,,,verified
319,24800875,773112,Active,65,,,,40.09,,2.64,1.27,3.45,74.76,62.09,29.44,18.23,13.82,4.93,0,0.7,0,0,Active,56.87,,,verified
320,24800878,5342554,Active,67,,,,34.27,,4.83,1.96,9.63,71.38,77.9,38.5,0,2.76,1.41,10.69,4.19,6.09,0,Active,38.74,,,verified
321,24800991,5757884,Active,63,,,,44.4,,2.83,2.63,5.07,81.51,63.65,14.05,0,4.14,4.93,0,6.28,2.03,0,Active,41.5,,,verified
322,24801006,3124366,Active,50,,,,76.86,,4.6,2.72,4.67,67.54,23.07,4.22,6.31,3.45,7.75,5.7,5.58,2.71,0.69,Active,45.75,,,verified
323,24801697,1776706,Active,46,,,,88.32,,5.74,1.66,3.18,52.26,34.34,6.35,0.69,0,0,0,0,0,0,Active,29.89,,,verified
324,24801699,3107993,Active,72,,,,20.47,,2.07,2.1,7.18,93.07,87.26,62.88,22.44,8.29,5.64,9.98,11.86,9.47,6.86,Active,79.28,,,verified
325,24801954,3095577,Active,70,,,,25.33,,2.63,3.08,9.08,76.91,100,44.47,13.32,7.6,0.7,0,0,0,0,Active,55.7,,,verified
326,24802040,774142,Active,60,,,,50.97,,0.84,2.39,1.24,84.32,47.44,17.63,1.38,0,0,0,0,0,0,Active,89.62,,,verified
327,24802044,2874547,Active,65,,,,38.7,,3.64,2.31,6.99,100,59.51,24.59,16.13,1.38,9.16,7.13,5.58,2.03,3.43,Active,42.25,,,verified
328,24802318,2178077,Active,64,,,,40.61,,4.07,1.52,5.9,69.86,69.6,28.21,11.04,6.45,0,1.36,3.4,0,0,Active,58.24,,,verified
329,24802624,2255181,Active,67,,,,33.87,,7.64,1.12,11.12,56.53,71.94,57.06,17.25,3.74,1.34,0,1.36,5.51,0,Active,63.69,,,verified
